id;il_id;aciklama;created_by;created_date
202;16;Nilüfer;admin;now
203;16;Osmangazi;admin;now
204;16;Yıldırım;admin;now
205;16;Gürsu;admin;now
206;16;Kestel;admin;now
207;17;Ayvacık / Çanakkale;admin;now
208;17;Bayramiç;admin;now
209;17;Biga;admin;now
210;17;Bozcaada;admin;now
211;17;Çan;admin;now
212;17;Çanakkale Merkez;admin;now
213;17;Eceabat;admin;now
214;17;Ezine;admin;now
215;17;Gelibolu;admin;now
216;17;Gökçeada;admin;now
217;17;Lapseki;admin;now
218;17;Yenice / Çanakkale;admin;now
219;18;Çankırı Merkez;admin;now
220;18;Çerkeş;admin;now
221;18;Eldivan;admin;now
222;18;Ilgaz;admin;now
223;18;Kurşunlu;admin;now
224;18;Orta;admin;now
225;18;Şabanözü;admin;now
226;18;Yapraklı;admin;now
227;18;Atkaracalar;admin;now
228;18;Kızılırmak;admin;now
229;18;Bayramören;admin;now
230;18;Korgun;admin;now
231;19;Alaca;admin;now
232;19;Bayat / Çorum;admin;now
233;19;Çorum Merkez;admin;now
234;19;İskilip;admin;now
235;19;Kargı;admin;now
236;19;Mecitözü;admin;now
237;19;Ortaköy / Çorum;admin;now
238;19;Osmancık;admin;now
239;19;Sungurlu;admin;now
240;19;Boğazkale;admin;now
241;19;Uğurludağ;admin;now
242;19;Dodurga;admin;now
243;19;Laçin;admin;now
244;19;Oğuzlar;admin;now
245;20;Acıpayam;admin;now
246;20;Buldan;admin;now
247;20;Çal;admin;now
248;20;Çameli;admin;now
249;20;Çardak;admin;now
250;20;Çivril;admin;now
251;20;Güney;admin;now
252;20;Kale / Denizli;admin;now
253;20;Sarayköy;admin;now
254;20;Tavas;admin;now
255;20;Babadağ;admin;now
256;20;Bekilli;admin;now
257;20;Honaz;admin;now
258;20;Serinhisar;admin;now
259;20;Pamukkale;admin;now
260;20;Baklan;admin;now
261;20;Beyağaç;admin;now
262;20;Bozkurt / Denizli;admin;now
263;20;Merkezefendi;admin;now
264;21;Bismil;admin;now
265;21;Çermik;admin;now
266;21;Çınar;admin;now
267;21;Çüngüş;admin;now
268;21;Dicle;admin;now
269;21;Ergani;admin;now
270;21;Hani;admin;now
271;21;Hazro;admin;now
272;21;Kulp;admin;now
273;21;Lice;admin;now
274;21;Silvan;admin;now
275;21;Eğil;admin;now
276;21;Kocaköy;admin;now
277;21;Bağlar;admin;now
278;21;Kayapınar;admin;now
279;21;Sur;admin;now
280;21;Yenişehir / Diyarbakır;admin;now
281;22;Edirne Merkez;admin;now
282;22;Enez;admin;now
283;22;Havsa;admin;now
284;22;İpsala;admin;now
285;22;Keşan;admin;now
286;22;Lalapaşa;admin;now
287;22;Meriç;admin;now
288;22;Uzunköprü;admin;now
289;22;Süloğlu;admin;now
290;23;Ağın;admin;now
291;23;Baskil;admin;now
292;23;Elazığ Merkez;admin;now
293;23;Karakoçan;admin;now
294;23;Keban;admin;now
295;23;Maden;admin;now
296;23;Palu;admin;now
297;23;Sivrice;admin;now
298;23;Arıcak;admin;now
299;23;Kovancılar;admin;now
300;23;Alacakaya;admin;now
301;24;Çayırlı;admin;now
302;24;Erzincan Merkez;admin;now
303;24;İliç;admin;now
304;24;Kemah;admin;now
305;24;Kemaliye;admin;now
306;24;Refahiye;admin;now
307;24;Tercan;admin;now
308;24;Üzümlü;admin;now
309;24;Otlukbeli;admin;now
310;25;Aşkale;admin;now
311;25;Çat;admin;now
312;25;Hınıs;admin;now
313;25;Horasan;admin;now
314;25;İspir;admin;now
315;25;Karayazı;admin;now
316;25;Narman;admin;now
317;25;Oltu;admin;now
318;25;Olur;admin;now
319;25;Pasinler;admin;now
320;25;Şenkaya;admin;now
321;25;Tekman;admin;now
322;25;Tortum;admin;now
323;25;Karaçoban;admin;now
324;25;Uzundere;admin;now
325;25;Pazaryolu;admin;now
326;25;Aziziye;admin;now
327;25;Köprüköy;admin;now
328;25;Palandöken;admin;now
329;25;Yakutiye;admin;now
330;26;Çifteler;admin;now
331;26;Mahmudiye;admin;now
332;26;Mihalıççık;admin;now
333;26;Sarıcakaya;admin;now
334;26;Seyitgazi;admin;now
335;26;Sivrihisar;admin;now
336;26;Alpu;admin;now
337;26;Beylikova;admin;now
338;26;İnönü;admin;now
339;26;Günyüzü;admin;now
340;26;Han;admin;now
341;26;Mihalgazi;admin;now
342;26;Odunpazarı;admin;now
343;26;Tepebaşı;admin;now
344;27;Araban;admin;now
345;27;İslahiye;admin;now
346;27;Nizip;admin;now
347;27;Oğuzeli;admin;now
348;27;Yavuzeli;admin;now
349;27;Şahinbey;admin;now
350;27;Şehitkamil;admin;now
351;27;Karkamış;admin;now
352;27;Nurdağı;admin;now
353;28;Alucra;admin;now
354;28;Bulancak;admin;now
355;28;Dereli;admin;now
356;28;Espiye;admin;now
357;28;Eynesil;admin;now
358;28;Giresun Merkez;admin;now
359;28;Görele;admin;now
360;28;Keşap;admin;now
361;28;Şebinkarahisar;admin;now
362;28;Tirebolu;admin;now
363;28;Piraziz;admin;now
364;28;Yağlıdere;admin;now
365;28;Çamoluk;admin;now
366;28;Çanakçı;admin;now
367;28;Doğankent;admin;now
368;28;Güce;admin;now
369;29;Gümüşhane Merkez;admin;now
370;29;Kelkit;admin;now
371;29;Şiran;admin;now
372;29;Torul;admin;now
373;29;Köse;admin;now
374;29;Kürtün;admin;now
375;30;Çukurca;admin;now
376;30;Hakkari Merkez;admin;now
377;30;Şemdinli;admin;now
378;30;Yüksekova;admin;now
379;31;Altınözü;admin;now
380;31;Dörtyol;admin;now
381;31;Hassa;admin;now
382;31;İskenderun;admin;now
383;31;Kırıkhan;admin;now
384;31;Reyhanlı;admin;now
385;31;Samandağ;admin;now
386;31;Yayladağı;admin;now
387;31;Erzin;admin;now
388;31;Belen;admin;now
389;31;Kumlu;admin;now
390;31;Antakya;admin;now
391;31;Arsuz;admin;now
392;31;Defne;admin;now
393;31;Payas;admin;now
394;32;Atabey;admin;now
395;32;Eğirdir;admin;now
396;32;Gelendost;admin;now
397;32;Isparta Merkez;admin;now
398;32;Keçiborlu;admin;now
399;32;Senirkent;admin;now
400;32;Sütçüler;admin;now
401;32;Şarkikaraağaç;admin;now
402;32;Uluborlu;admin;now
403;32;Yalvaç;admin;now
404;32;Aksu / Isparta;admin;now
405;32;Gönen / Isparta;admin;now
406;32;Yenişarbademli;admin;now
407;33;Anamur;admin;now
408;33;Erdemli;admin;now
409;33;Gülnar;admin;now
410;33;Mut;admin;now
411;33;Silifke;admin;now
412;33;Tarsus;admin;now
413;33;Aydıncık / Mersin;admin;now
414;33;Bozyazı;admin;now
415;33;Çamlıyayla;admin;now
416;33;Akdeniz;admin;now
417;33;Mezitli;admin;now
418;33;Toroslar;admin;now
419;33;Yenişehir / Mersin;admin;now
420;34;Adalar;admin;now
421;34;Bakırköy;admin;now
422;34;Beşiktaş;admin;now
423;34;Beykoz;admin;now
424;34;Beyoğlu;admin;now
425;34;Çatalca;admin;now
426;34;Eyüp;admin;now
427;34;Fatih;admin;now
428;34;Gaziosmanpaşa;admin;now
429;34;Kadıköy;admin;now
430;34;Kartal;admin;now
431;34;Sarıyer;admin;now
432;34;Silivri;admin;now
433;34;Şile;admin;now
434;34;Şişli;admin;now
435;34;Üsküdar;admin;now
436;34;Zeytinburnu;admin;now
437;34;Büyükçekmece;admin;now
438;34;Kağıthane;admin;now
439;34;Küçükçekmece;admin;now
440;34;Pendik;admin;now
441;34;Ümraniye;admin;now
442;34;Bayrampaşa;admin;now
443;34;Avcılar;admin;now
444;34;Bağcılar;admin;now
445;34;Bahçelievler;admin;now
446;34;Güngören;admin;now
447;34;Maltepe;admin;now
448;34;Sultanbeyli;admin;now
449;34;Tuzla;admin;now
450;34;Esenler;admin;now
451;34;Arnavutköy;admin;now
452;34;Ataşehir;admin;now
453;34;Başakşehir;admin;now
454;34;Beylikdüzü;admin;now
455;34;Çekmeköy;admin;now
456;34;Esenyurt;admin;now
